query;trial;elapsed_s;;;;;;
patients_by_gender;0;0,000306129;;;;;;
patients_by_gender;1;0,000260115;;;;;;
patients_by_gender;2;0,000256062;;;;;;
patients_by_gender;3;0,000260115;;;;;;
patients_by_gender;4;0,000239849;;;;Plotting table;Average;Standard Deviation
patients_by_gender;5;0,000254869;;;;patients_by_gender;2,30E-04;3,04E-05
patients_by_gender;6;0,000257015;;;;surgeries_by_type;2,13E-04;1,48E-05
patients_by_gender;7;0,000251055;;;;;;
patients_by_gender;8;0,000250101;;;;;;
patients_by_gender;9;0,000243187;;;;;;
patients_by_gender;10;0,000250816;;;;;;
patients_by_gender;11;0,000247002;;;;;;
patients_by_gender;12;0,000240803;;;;;;
patients_by_gender;13;0,000247002;;;;;;
patients_by_gender;14;0,000241995;;;;;;
patients_by_gender;15;0,000237226;;;;;;
patients_by_gender;16;0,000239134;;;;;;
patients_by_gender;17;0,000423908;;;;;;
patients_by_gender;18;0,000271797;;;;;;
patients_by_gender;19;0,000270844;;;;;;
patients_by_gender;20;0,000236034;;;;;;
patients_by_gender;21;0,000227928;;;;;;
patients_by_gender;22;0,000256062;;;;;;
patients_by_gender;23;0,000244141;;;;;;
patients_by_gender;24;0,000270844;;;;;;
patients_by_gender;25;0,000243187;;;;;;
patients_by_gender;26;0,000243187;;;;;;
patients_by_gender;27;0,000243187;;;;;;
patients_by_gender;28;0,000233889;;;;;;
patients_by_gender;29;0,000227928;;;;;;
patients_by_gender;30;0,000241995;;;;;;
patients_by_gender;31;0,000230789;;;;;;
patients_by_gender;32;0,000280619;;;;;;
patients_by_gender;33;0,000225067;;;;;;
patients_by_gender;34;0,000230074;;;;;;
patients_by_gender;35;0,000228882;;;;;;
patients_by_gender;36;0,000236988;;;;;;
patients_by_gender;37;0,000234127;;;;;;
patients_by_gender;38;0,000227928;;;;;;
patients_by_gender;39;0,000231743;;;;;;
patients_by_gender;40;0,000230312;;;;;;
patients_by_gender;41;0,000226974;;;;;;
patients_by_gender;42;0,000234127;;;;;;
patients_by_gender;43;0,000234127;;;;;;
patients_by_gender;44;0,000232935;;;;;;
patients_by_gender;45;0,000241041;;;;;;
patients_by_gender;46;0,000231028;;;;;;
patients_by_gender;47;0,000231028;;;;;;
patients_by_gender;48;0,000240803;;;;;;
patients_by_gender;49;0,00023818;;;;;;
patients_by_gender;50;0,000234127;;;;;;
patients_by_gender;51;0,000231981;;;;;;
patients_by_gender;52;0,000231981;;;;;;
patients_by_gender;53;0,000234127;;;;;;
patients_by_gender;54;0,000224113;;;;;;
patients_by_gender;55;0,000222206;;;;;;
patients_by_gender;56;0,000222921;;;;;;
patients_by_gender;57;0,00022912;;;;;;
patients_by_gender;58;0,000231981;;;;;;
patients_by_gender;59;0,000228167;;;;;;
patients_by_gender;60;0,000228167;;;;;;
patients_by_gender;61;0,000220776;;;;;;
patients_by_gender;62;0,00022316;;;;;;
patients_by_gender;63;0,00023222;;;;;;
patients_by_gender;64;0,000216961;;;;;;
patients_by_gender;65;0,000214815;;;;;;
patients_by_gender;66;0,000224113;;;;;;
patients_by_gender;67;0,000228167;;;;;;
patients_by_gender;68;0,000233889;;;;;;
patients_by_gender;69;0,000222921;;;;;;
patients_by_gender;70;0,000237942;;;;;;
patients_by_gender;71;0,000225067;;;;;;
patients_by_gender;72;0,000230312;;;;;;
patients_by_gender;73;0,000231981;;;;;;
patients_by_gender;74;0,000235081;;;;;;
patients_by_gender;75;0,00022912;;;;;;
patients_by_gender;76;0,000221968;;;;;;
patients_by_gender;77;0,000228167;;;;;;
patients_by_gender;78;0,000236034;;;;;;
patients_by_gender;79;0,000224113;;;;;;
patients_by_gender;80;0,000220776;;;;;;
patients_by_gender;81;0,000225782;;;;;;
patients_by_gender;82;0,000242949;;;;;;
patients_by_gender;83;0,000197887;;;;;;
patients_by_gender;84;0,000187159;;;;;;
patients_by_gender;85;0,000184059;;;;;;
patients_by_gender;86;0,000187874;;;;;;
patients_by_gender;87;0,00018096;;;;;;
patients_by_gender;88;0,000180006;;;;;;
patients_by_gender;89;0,000177145;;;;;;
patients_by_gender;90;0,000188828;;;;;;
patients_by_gender;91;0,000175238;;;;;;
patients_by_gender;92;0,00019908;;;;;;
patients_by_gender;93;0,00018096;;;;;;
patients_by_gender;94;0,000179052;;;;;;
patients_by_gender;95;0,000200987;;;;;;
patients_by_gender;96;0,000179052;;;;;;
patients_by_gender;97;0,000187159;;;;;;
patients_by_gender;98;0,000179291;;;;;;
patients_by_gender;99;0,000179052;;;;;;
surgeries_by_type;0;0,000225782;;;;;;
surgeries_by_type;1;0,000212908;;;;;;
surgeries_by_type;2;0,000216722;;;;;;
surgeries_by_type;3;0,000226974;;;;;;
surgeries_by_type;4;0,000225782;;;;;;
surgeries_by_type;5;0,00026226;;;;;;
surgeries_by_type;6;0,000227928;;;;;;
surgeries_by_type;7;0,000221014;;;;;;
surgeries_by_type;8;0,000208139;;;;;;
surgeries_by_type;9;0,000230789;;;;;;
surgeries_by_type;10;0,000208855;;;;;;
surgeries_by_type;11;0,000218153;;;;;;
surgeries_by_type;12;0,000212908;;;;;;
surgeries_by_type;13;0,000210762;;;;;;
surgeries_by_type;14;0,000211;;;;;;
surgeries_by_type;15;0,000212193;;;;;;
surgeries_by_type;16;0,000223875;;;;;;
surgeries_by_type;17;0,000207901;;;;;;
surgeries_by_type;18;0,000222206;;;;;;
surgeries_by_type;19;0,00030899;;;;;;
surgeries_by_type;20;0,000281096;;;;;;
surgeries_by_type;21;0,000213861;;;;;;
surgeries_by_type;22;0,000215054;;;;;;
surgeries_by_type;23;0,000218153;;;;;;
surgeries_by_type;24;0,000222921;;;;;;
surgeries_by_type;25;0,000221014;;;;;;
surgeries_by_type;26;0,000206709;;;;;;
surgeries_by_type;27;0,000213146;;;;;;
surgeries_by_type;28;0,000209093;;;;;;
surgeries_by_type;29;0,000203133;;;;;;
surgeries_by_type;30;0,000214815;;;;;;
surgeries_by_type;31;0,000202894;;;;;;
surgeries_by_type;32;0,000204086;;;;;;
surgeries_by_type;33;0,000206947;;;;;;
surgeries_by_type;34;0,000207901;;;;;;
surgeries_by_type;35;0,000211239;;;;;;
surgeries_by_type;36;0,000212193;;;;;;
surgeries_by_type;37;0,000210047;;;;;;
surgeries_by_type;38;0,000211;;;;;;
surgeries_by_type;39;0,000216007;;;;;;
surgeries_by_type;40;0,000211239;;;;;;
surgeries_by_type;41;0,000221968;;;;;;
surgeries_by_type;42;0,000209808;;;;;;
surgeries_by_type;43;0,000217915;;;;;;
surgeries_by_type;44;0,000206947;;;;;;
surgeries_by_type;45;0,000212908;;;;;;
surgeries_by_type;46;0,00020504;;;;;;
surgeries_by_type;47;0,000205994;;;;;;
surgeries_by_type;48;0,00020504;;;;;;
surgeries_by_type;49;0,000206232;;;;;;
surgeries_by_type;50;0,000217915;;;;;;
surgeries_by_type;51;0,000205755;;;;;;
surgeries_by_type;52;0,000212908;;;;;;
surgeries_by_type;53;0,000207186;;;;;;
surgeries_by_type;54;0,000217915;;;;;;
surgeries_by_type;55;0,00020504;;;;;;
surgeries_by_type;56;0,00022006;;;;;;
surgeries_by_type;57;0,000208139;;;;;;
surgeries_by_type;58;0,000200987;;;;;;
surgeries_by_type;59;0,000207186;;;;;;
surgeries_by_type;60;0,000202179;;;;;;
surgeries_by_type;61;0,000208855;;;;;;
surgeries_by_type;62;0,000200272;;;;;;
surgeries_by_type;63;0,000205755;;;;;;
surgeries_by_type;64;0,000207901;;;;;;
surgeries_by_type;65;0,000211;;;;;;
surgeries_by_type;66;0,000205994;;;;;;
surgeries_by_type;67;0,000211954;;;;;;
surgeries_by_type;68;0,000205994;;;;;;
surgeries_by_type;69;0,000205994;;;;;;
surgeries_by_type;70;0,000206709;;;;;;
surgeries_by_type;71;0,000200033;;;;;;
surgeries_by_type;72;0,000210047;;;;;;
surgeries_by_type;73;0,000204086;;;;;;
surgeries_by_type;74;0,000219107;;;;;;
surgeries_by_type;75;0,000201225;;;;;;
surgeries_by_type;76;0,000197887;;;;;;
surgeries_by_type;77;0,000209093;;;;;;
surgeries_by_type;78;0,000211954;;;;;;
surgeries_by_type;79;0,000203133;;;;;;
surgeries_by_type;80;0,000207901;;;;;;
surgeries_by_type;81;0,000217199;;;;;;
surgeries_by_type;82;0,000205755;;;;;;
surgeries_by_type;83;0,000215769;;;;;;
surgeries_by_type;84;0,000211954;;;;;;
surgeries_by_type;85;0,000206947;;;;;;
surgeries_by_type;86;0,000206232;;;;;;
surgeries_by_type;87;0,000204086;;;;;;
surgeries_by_type;88;0,000212193;;;;;;
surgeries_by_type;89;0,000208139;;;;;;
surgeries_by_type;90;0,000204086;;;;;;
surgeries_by_type;91;0,000206947;;;;;;
surgeries_by_type;92;0,00020504;;;;;;
surgeries_by_type;93;0,00020504;;;;;;
surgeries_by_type;94;0,000208139;;;;;;
surgeries_by_type;95;0,000229836;;;;;;
surgeries_by_type;96;0,000200987;;;;;;
surgeries_by_type;97;0,000203848;;;;;;
surgeries_by_type;98;0,000207901;;;;;;
surgeries_by_type;99;0,000213146;;;;;;